Loss,Accuracy,Batch
0.14752024,0.9263944,3700
0.14522694,0.9313793,3710
0.12083351,0.9441416,3720
0.12618695,0.9413273,3730
0.13596025,0.9361809,3740
0.121806376,0.9425476,3750
0.12866521,0.94249976,3760
0.108136036,0.9496786,3770
0.17732748,0.91325086,3780
0.1338684,0.93597126,3790
0.13451481,0.9378977,3800
0.14194079,0.9322182,3810
0.14020365,0.9354334,3820
0.10430019,0.9534775,3830
0.11475653,0.9479784,3840
0.14127347,0.9330563,3850
0.13177909,0.9382893,3860
0.12652662,0.94015354,3870
0.13290502,0.93708515,3880
0.12977754,0.94110435,3890
0.14071584,0.938039,3900
0.15036008,0.9344454,3910
0.16218312,0.931036,3920
0.13780949,0.9425818,3930
0.13832258,0.9430123,3940
0.1371648,0.9416029,3950
0.14600386,0.934684,3960
0.13668127,0.94093585,3970
0.14495881,0.9381657,3980
0.14573616,0.9360172,3990
0.14636762,0.9388809,4000
0.124349184,0.94702125,4010
0.15283337,0.93279624,4020
0.12371168,0.9453112,4030
0.11967656,0.95009327,4040
0.15377484,0.9314289,4050
0.12718096,0.94684607,4060
0.15026872,0.93411887,4070
0.12953295,0.9432772,4080
0.15983285,0.928073,4090
0.13469918,0.9424652,4100
0.15204014,0.9328531,4110
0.144933,0.93707585,4120
0.14450945,0.93602425,4130
0.12958689,0.94209343,4140
0.15095758,0.9312279,4150
0.13995153,0.93911,4160
0.1512751,0.93195826,4170
0.11886689,0.9472443,4180
0.1317082,0.9414066,4190
0.14593133,0.9341827,4200
0.13200206,0.9402622,4210
0.1489523,0.9347715,4220
0.13081016,0.94057804,4230
0.14663786,0.9330906,4240
0.14055608,0.9385916,4250
0.13018514,0.943043,4260
0.121168464,0.94699,4270
0.15069251,0.93219113,4280
0.13505982,0.93780077,4290
0.13595712,0.9385908,4300
0.11436196,0.9502795,4310
0.13383737,0.93979245,4320
0.12300647,0.9458441,4330
0.13219474,0.94210076,4340
0.12162412,0.94713783,4350
0.1276709,0.9441788,4360
0.13808855,0.9402322,4370
0.16769546,0.92581254,4380
0.14714524,0.9343989,4390
0.12754673,0.9443033,4400
0.14231731,0.9350588,4410
0.15016524,0.93738437,4420
0.1448876,0.933828,4430
0.16062619,0.92651767,4440
0.1359847,0.9420523,4450
0.12977843,0.94368464,4460
0.16524982,0.9265053,4470
0.13345696,0.94001126,4480
0.13939553,0.93857646,4490
0.1328915,0.94188255,4500
0.15885967,0.9253223,4510
0.14907704,0.93563724,4520
0.13537277,0.9395853,4530
0.15742606,0.9310903,4540
0.14470953,0.9375033,4550
0.14133076,0.9387998,4560
0.13760327,0.9377958,4570
0.16056429,0.9309214,4580
0.14508487,0.9368771,4590
0.1558002,0.932698,4600
0.14204429,0.936622,4610
0.13482188,0.9400644,4620
0.15816073,0.9255516,4630
0.15819497,0.9265436,4640
0.15780951,0.9295115,4650
0.14333715,0.936669,4660
0.13875443,0.93729496,4670
