Loss,Accuracy,Recall,Precision,F1-Score,Batch
0.4149921,0.8356289,0.78479385,0.8932727,0.83540636,1640
0.41976562,0.83245164,0.77485245,0.8932543,0.82973975,1645
0.40918088,0.8385251,0.7785881,0.9005788,0.8351225,1650
0.43261313,0.8301303,0.7767596,0.8905538,0.8296061,1655
0.3993089,0.84088486,0.77981263,0.89907503,0.83500195,1660
0.3872435,0.8454201,0.7907106,0.8982477,0.8410394,1665
0.4223329,0.83419436,0.7743907,0.8940082,0.8298104,1670
0.36691388,0.8551202,0.80040485,0.9096232,0.8515026,1675
0.41472363,0.8361571,0.78038615,0.8922464,0.8324782,1680
0.36697486,0.85651445,0.8035876,0.90523905,0.8513467,1685
0.40401468,0.8376067,0.77939415,0.89835525,0.8345621,1690
0.38496685,0.84579057,0.788693,0.9053219,0.8427568,1695
0.42623046,0.83221465,0.7816803,0.88955283,0.83207077,1700
0.41937843,0.8339071,0.77570695,0.891335,0.8294597,1705
0.42953074,0.8261943,0.77175707,0.8865843,0.8251137,1710
0.37854156,0.8527952,0.79750013,0.9074474,0.84877867,1715
0.41978607,0.8301739,0.7700467,0.8917446,0.8262146,1720
0.43694147,0.82370263,0.7611912,0.8910354,0.82080626,1725
0.39441124,0.84260225,0.78083783,0.905044,0.8383183,1730
0.42546153,0.82531863,0.7689507,0.88415617,0.8225108,1735
0.4040418,0.84036,0.784507,0.90023303,0.8383841,1740
0.41126302,0.83625394,0.7814836,0.8919773,0.8330202,1745
0.4353982,0.82702285,0.75815076,0.89211076,0.8196214,1750
0.40408978,0.84331495,0.7858429,0.9042056,0.84083027,1755
0.43276754,0.8292784,0.76728654,0.8892568,0.8235863,1760
0.43997362,0.82630247,0.770957,0.88341635,0.82304597,1765
0.4036542,0.8425069,0.7898083,0.89782745,0.8403008,1770
0.41713575,0.83436966,0.7757811,0.89768815,0.832218,1775
0.39101684,0.84478027,0.7923365,0.90104264,0.8430999,1780
0.39160395,0.84524155,0.789712,0.90283257,0.84241295,1785
0.39277294,0.8426807,0.7878292,0.89668924,0.83864266,1790
0.38032094,0.84953004,0.79504603,0.9036164,0.84578353,1795
0.4542419,0.8160735,0.7584193,0.8781457,0.8136408,1800
0.41397083,0.8384373,0.78364784,0.89414626,0.83511776,1805
0.43774605,0.82464,0.770699,0.87873536,0.821088,1810
0.3987299,0.84062654,0.7948125,0.8918589,0.8404539,1815
0.377977,0.85514736,0.8025746,0.907732,0.85186046,1820
0.3841658,0.85422283,0.8032964,0.90587455,0.8513674,1825
0.35343492,0.8633043,0.8149541,0.9147617,0.8619647,1830
0.41627368,0.8296781,0.772764,0.89240915,0.8281901,1835
0.42161563,0.830524,0.7781677,0.8884695,0.82954615,1840
0.39106795,0.8463219,0.79364824,0.90365386,0.8449855,1845
0.3872995,0.8454173,0.7960443,0.90195805,0.84563136,1850
0.36588398,0.8536001,0.80700105,0.9035066,0.85241884,1855
0.38237858,0.84863883,0.7953716,0.90556145,0.84685093,1860
0.4409926,0.8156027,0.7630771,0.8790819,0.8168395,1865
0.38660833,0.8423942,0.7931135,0.89648145,0.8415106,1870
0.41142067,0.83228636,0.7740335,0.8923311,0.8287553,1875
0.38835582,0.843699,0.79006356,0.90049934,0.84163934,1880
0.3850963,0.84928876,0.79544765,0.9053208,0.8465838,1885
0.40189612,0.83875537,0.7856023,0.8967691,0.8374603,1890
0.36169052,0.8532779,0.8048832,0.9080098,0.85321355,1895
0.3435844,0.8634071,0.8167846,0.9160583,0.86346865,1900
0.34407285,0.8637516,0.8210392,0.9130733,0.8645162,1905
0.34340346,0.86514443,0.8172326,0.9151127,0.8632407,1910
0.40540293,0.8388384,0.7832389,0.89665514,0.8360167,1915
0.3832288,0.85037047,0.80036813,0.90271837,0.8483141,1920
0.39877662,0.8419098,0.78554106,0.8998466,0.8387461,1925
0.34504154,0.8641288,0.81822807,0.91314155,0.8630399,1930
0.37311795,0.8523509,0.7954381,0.91061443,0.84906983,1935
0.37643683,0.85006374,0.80497974,0.9028638,0.85096955,1940
0.3631446,0.8566317,0.8012137,0.91273284,0.85328984,1945
0.3447019,0.8607289,0.812481,0.9111132,0.8588852,1950
0.4256748,0.8288329,0.7732773,0.89200836,0.82820415,1955
0.37434372,0.850138,0.8033369,0.90257376,0.84990174,1960
0.3656707,0.85262847,0.80065775,0.90853614,0.8510538,1965
0.38310218,0.84674793,0.7958018,0.9042395,0.84651446,1970
0.3984288,0.84092754,0.78666997,0.89967155,0.83931214,1975
0.37513074,0.85503834,0.8065904,0.9056189,0.8530746,1980
0.39577946,0.84414667,0.78869724,0.90165263,0.841331,1985
0.4100988,0.83771557,0.7824746,0.8991155,0.8365617,1990
0.41875935,0.82738405,0.7681945,0.8913507,0.82515484,1995
0.38299373,0.8490386,0.7961841,0.9028849,0.8460925,2000
0.404322,0.83774257,0.7849271,0.89387137,0.8358021,2005
0.39256784,0.84265226,0.7911536,0.90225655,0.8429565,2010
0.42888913,0.8282711,0.77250576,0.89086694,0.827375,2015
0.35443175,0.8612972,0.8137943,0.91212493,0.86013335,2020
0.39390612,0.83998823,0.7879421,0.8963906,0.83854955,2025
0.35168752,0.8642006,0.81922203,0.9132486,0.8635874,2030
